units that have a private room	SW.filter ( SW.filter entity-en.housing_unit string-has_private_room ) string-has_private_room
what block is e0 below and to the left of	SW.filter ( SW.filter entity-en.block SW.reverse string-below string-= e0 ) SW.reverse string-left string-= e0
find the block underneath e0 that is also 3 inches long	SW.filter ( SW.filter entity-en.block string-below string-= e0 ) string-length string-= number3 en.inch
find a block that is beneath either e0 or e1	SW.filter entity-en.block string-below string-= SW.concat
find the block that is right of e0 and has a width of 3 inches	SW.filter ( SW.filter entity-en.block string-right string-= e0 ) string-width string-= number3 en.inch
select the block that e0 is not below	SW.filter entity-en.block SW.reverse string-below string-!= e0
select the block that is at least 3 inches tall	SW.filter entity-en.block SW.ensureNumericProperty string-height  string->= ( SW.ensureNumericEntity number3 en.inch )
select the special block that is to the right of e0	SW.filter ( SW.filter entity-en.block string-right string-= e0 ) string-is_special
choose a block below the 3 inch brick	SW.filter entity-en.block string-below string-= ( SW.filter entity-en.block string-length string-= number3 en.inch )
find the block with 3 inches of width	SW.filter ( SW.filter entity-en.block string-width string-= number3 en.inch ) SW.reverse string-above string-= en.block.block1
what color is e0	SW.getProperty e0 string-color
find me all blocks above and to the right of e0	SW.filter ( SW.filter entity-en.block string-above string-= e0 ) SW.reverse string-left string-= e0
what is the block above that has its length as 3 inches	SW.filter entity-en.block string-above string-= ( SW.filter entity-en.block string-length string-= number3 en.inch )
select the block that e0 is above with a width of 3 inches	SW.filter ( SW.filter entity-en.block SW.reverse string-above string-= e0 ) string-width string-= number3 en.inch
block not right of e0	SW.filter entity-en.block SW.reverse string-left string-!= e0
find a block with the same height as e0	SW.filter entity-en.block string-height string-= SW.getProperty e0 string-height
block above e0 block	SW.filter entity-en.block SW.reverse string-below string-= ( SW.filter entity-en.block string-shape string-= e0 )
block that is right of block that is special	SW.filter entity-en.block string-right string-= ( SW.filter entity-en.block string-is_special )
find me all the blocks below and to the left of e0	SW.filter entity-en.block string-below string-= ( SW.filter entity-en.block string-left string-= e0 )
choose a block that is at most 2 block to the left	SW.countComparative entity-en.block SW.reverse string-left string-<= number2 entity-en.block
choose a block that is left of e0	SW.filter entity-en.block string-left string-= e0
which brick has a width less than the length of e0	SW.filter entity-en.block SW.ensureNumericProperty string-width  string-< ( SW.ensureNumericEntity SW.getProperty e0 string-length  )
find the block with the most colors	SW.countSuperlative entity-en.block string-max string-color
find me the block that is to the right of the special block	SW.filter entity-en.block string-right string-= ( SW.filter entity-en.block string-is_special )
block whose length is at most height of e0	SW.filter entity-en.block SW.ensureNumericProperty string-length  string-<= ( SW.ensureNumericEntity SW.getProperty e0 string-height  )
select the block that is to the left of two or more blocks	SW.countComparative entity-en.block string-left string->= number2 entity-en.block
block that more than two block is left of	SW.countComparative entity-en.block SW.reverse string-left string-> number2 entity-en.block
block which is at the left of the block below e0	SW.filter entity-en.block string-left string-= ( SW.filter entity-en.block SW.reverse string-above string-= e0 )
find the longest block	SW.superlative entity-en.block string-max SW.ensureNumericProperty string-length
find a block above at most two blocks	SW.countComparative entity-en.block SW.reverse string-below string-<= number2 entity-en.block
find a block 6 inches or less long	SW.filter entity-en.block SW.ensureNumericProperty string-length  string-<= ( SW.ensureNumericEntity SW.concat )
look right of e0 and find 3 inch block	SW.filter ( SW.filter entity-en.block string-length string-= number3 en.inch ) SW.reverse string-left string-= e0
find me a 3 inch long special block	SW.filter ( SW.filter entity-en.block string-is_special ) string-length string-= number3 en.inch
find the block taller than 3 inches	SW.filter entity-en.block SW.ensureNumericProperty string-height  string-> ( SW.ensureNumericEntity number3 en.inch )
name a block with e0 below and to the right	SW.filter ( SW.filter entity-en.block SW.reverse string-below string-= e0 ) string-right string-= e0
e0 block left of e1	SW.filter ( SW.filter entity-en.block SW.reverse string-right string-= e1 ) string-shape string-= e0
what is the length of e0	SW.getProperty e0 string-length
block that is special and that is left of e0	SW.filter ( SW.filter entity-en.block string-is_special ) string-left string-= e0
block that is below block whose length is 3 inches	SW.filter entity-en.block string-below string-= ( SW.filter entity-en.block string-length string-= number3 en.inch )
block less than two blocks below	SW.countComparative entity-en.block SW.reverse string-below string-< number2 entity-en.block
find me all the blocks two blocks left of e0	SW.filter entity-en.block string-left string-= ( SW.filter entity-en.block string-left string-= e0 )
select the e0 blocks	SW.filter entity-en.block SW.reverse string-left string-= ( SW.filter entity-en.block string-shape string-= e0 )
what is the number of bricks	.size entity-en.block
find me a block with at most two blocks to the left of it	SW.countComparative entity-en.block string-right string-<= number2 entity-en.block
which brick is longer than 3 inches	SW.filter entity-en.block SW.ensureNumericProperty string-length  string-> ( SW.ensureNumericEntity number3 en.inch )
find me a block that is not a e0	SW.filter entity-en.block string-shape string-!= e0
block which does not have e0 above	SW.filter entity-en.block SW.reverse string-above string-!= e0
find me all blocks underneath at least 2 blocks	SW.countComparative entity-en.block string-below string-> number2 entity-en.block
block left of blocks 1 and 2	SW.filter entity-en.block SW.reverse string-left string-= SW.concat
find me all special blocks that e0 is under	SW.filter ( SW.filter entity-en.block string-is_special ) SW.reverse string-below string-= e0
select the block that has a width of 3 inches and is below e0	SW.filter ( SW.filter entity-en.block string-width string-= number3 en.inch ) SW.reverse string-below string-= e0
find me all 3 or 6 inch wide blocks	SW.filter entity-en.block string-width string-= SW.concat
select a block that has width and height of 3 inches each	SW.filter ( SW.filter entity-en.block string-width string-= number3 en.inch ) string-height string-= number3 en.inch
find me all the blocks shorter than e0	SW.filter entity-en.block SW.ensureNumericProperty string-length  string-< ( SW.ensureNumericEntity SW.getProperty e0 string-height  )
block whose length is at most length of e0	SW.filter entity-en.block SW.ensureNumericProperty string-length  string-<= ( SW.ensureNumericEntity SW.getProperty e0 string-length  )
find the block that is to the left of e0	SW.filter ( SW.filter entity-en.block string-left string-= e0 ) SW.reverse string-left string-= e0
find a block taller than e0 is wide	SW.filter entity-en.block SW.ensureNumericProperty string-height  string-> ( SW.ensureNumericEntity SW.getProperty e0 string-width  )
which is the 3 inches tall block at the left of e0	SW.filter ( SW.filter entity-en.block SW.reverse string-right string-= e0 ) string-height string-= number3 en.inch
which brick is furthest to the left	SW.countSuperlative entity-en.block string-max string-left entity-en.block
what is the length of the block	string-sum SW.getProperty entity-en.block string-length
find me all 3 inch tall blocks that e0 is left of	SW.filter ( SW.filter entity-en.block SW.reverse string-left string-= e0 ) string-height string-= number3 en.inch
locate a block that is on the left side of the smallest number of blocks	SW.countSuperlative entity-en.block string-min string-left entity-en.block
two blocks right of e0	SW.filter entity-en.block string-right string-= ( SW.filter entity-en.block SW.reverse string-left string-= e0 )
block to the left of e0 thats 3 inches wide	SW.filter ( SW.filter entity-en.block SW.reverse string-left string-= e0 ) string-width string-= number3 en.inch
select the bricks that are less than 6 inches tall then select the bricks that are less than 3 inches tall	SW.filter entity-en.block SW.ensureNumericProperty string-height  string-< ( SW.ensureNumericEntity SW.concat )
below and left of e0	SW.filter ( SW.filter entity-en.block SW.reverse string-above string-= e0 ) SW.reverse string-right string-= e0
get me a block above and to the left of e0	SW.filter ( SW.filter entity-en.block string-left string-= e0 ) SW.reverse string-below string-= e0
choose the block above e0	SW.filter ( SW.filter entity-en.block string-above string-= e0 ) string-above string-= e0
find me all 3 inch tall blocks that e0 is above	SW.filter ( SW.filter entity-en.block string-height string-= number3 en.inch ) SW.reverse string-above string-= e0
